OBJECTID,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE,county
1309146,95925,576335,IOWA,19,2015,June,Thunderstorm Wind,C,179,WAPELLO,DMX,20-06-2015 17:33,CST-6,20-06-2015 17:33,0,0,0,0,0.00K,,Mesonet,52,MG,,,,,,,,,,1,W,OTTUMWA,1,W,OTTUMWA,41.0172,-92.4237,41.0172,-92.4237,"A low pressure system moved into the state during the day, dragging behind it a cold front that helped trigger off storms across portions of central and southern Iowa. Hail, damaging winds and a tornado occurred with the storms. The tornado moved from Monroe County into Wapello County damaging multiple farmsteads, power poles and a house.",Mesonet/RWIS measured 60 mph wind gust in Ottumwa within Railroad Park.,CSV,wapello
1309147,95925,576336,IOWA,19,2015,June,Thunderstorm Wind,C,51,DAVIS,DMX,20-06-2015 18:20,CST-6,20-06-2015 18:20,0,0,0,0,10.00K,,Trained Spotter,61,EG,,,,,,,,,,1,NW,FLORIS,1,NW,FLORIS,40.88,-92.33,40.88,-92.33,"A low pressure system moved into the state during the day, dragging behind it a cold front that helped trigger off storms across portions of central and southern Iowa. Hail, damaging winds and a tornado occurred with the storms. The tornado moved from Monroe County into Wapello County damaging multiple farmsteads, power poles and a house.",Trained spotter report of estimated thunderstorm wind gust of 70 mph.  Also reported a large tree had fallen on a garage in town.,CSV,davis
1309148,95086,571372,IOWA,19,2015,June,Thunderstorm Wind,C,151,POCAHONTAS,DMX,06-06-2015 23:42,CST-6,06-06-2015 23:42,0,0,0,0,0.00K,,Public,62,MG,,,,,,,,,,1,SW,ROLFE,1,SW,ROLFE,42.81,-94.53,42.81,-94.53,"An upper level trough pushed through the northern plains with an associated cold front extending southward into the central plains. Storms fired along the front to the west of Iowa in the evening and developed into a large MCS as it moved into Iowa. An MCV and a large squall line moved through northern and central Iowa during the overnight hours producing strong, damaging winds and heavy rain. Four brief tornadoes also occurred in central Iowa along the leading edge of the squall line in an area of stronger shear and higher moisture. The tornadoes mainly damaged trees and crops, however one did strike a barn and silo in rural Boone County. Another damaged traffic signals and an Iowa DNR nursery in the Ames area of Story County.",Measured on a personal weather station.,CSV,pocahontas
1309155,95933,576359,IOWA,19,2015,June,Thunderstorm Wind,C,63,EMMET,DMX,22-06-2015 05:16,CST-6,22-06-2015 05:16,0,0,0,0,25.00K,,Emergency Manager,52,EG,,,,,,,,,,1,NW,RALEIGH,1,NW,RALEIGH,43.36,-94.89,43.36,-94.89,"An MCS rolled through northern Iowa in the AM hours bringing with it numerous reports of high/damaging winds and some hail. The damaging winds brought down large tree limbs, power lines, large trees and damaged chicken and hog facilities. Lightning struck a house in Kossuth County damaging the chimney.",Emergency Manager reported trees down in Estherville and SW of town.,CSV,emmet
1309156,95933,576360,IOWA,19,2015,June,Thunderstorm Wind,C,63,EMMET,DMX,22-06-2015 05:19,CST-6,22-06-2015 05:19,0,0,0,0,0.00K,,ASOS,51,MG,,,,,,,,,,0,N,ESTHERVILLE ARPT,0,N,ESTHERVILLE ARPT,43.4,-94.75,43.4,-94.75,"An MCS rolled through northern Iowa in the AM hours bringing with it numerous reports of high/damaging winds and some hail. The damaging winds brought down large tree limbs, power lines, large trees and damaged chicken and hog facilities. Lightning struck a house in Kossuth County damaging the chimney.",ASOS reported 59 mph wind gust at Estherville Municipal Airport.,CSV,emmet
1309159,95985,576649,IOWA,19,2015,June,Thunderstorm Wind,C,77,GUTHRIE,DMX,24-06-2015 18:13,CST-6,24-06-2015 18:13,0,0,0,0,0.00K,,Trained Spotter,52,EG,,,,,,,,,,2,ENE,DALE,2,ENE,DALE,41.6102,-94.3182,41.6102,-94.3182,"A slowly northward moving boundary/warm front was draped across the area throughout the day.  By the evening vigorous storms fired up just north of the boundary and continued as the low level jet began to pick up.  Numerous reports of large hail and damaging winds were reported. Fairly quickly after sunset, storms transitioned away from multi-cellular severe to training heavy rain producers over an area NW to SE roughly from Carroll to Bloomfield, including portions of the Des Moines metro.  Resulting rainfall totals exceeded 3 inches in many locations and a few eclipsing 5 and 6 inches.  Widespread flash flooding and eventually river flooding occurred across large portions of the area mentioned above. Precipitable water values were in the 1.5 to 2.2 inch range with the freezing level around 14 to 15 kft across the state throughout the event.",Trained spotter reported 60 mph or higher wind gusts 7 miles south of Panora on Wagon Rd.  Wind gusts ongoing at the time of report.,CSV,guthrie
1309286,94184,566375,IOWA,19,2015,May,Thunderstorm Wind,C,121,MADISON,DMX,17-05-2015 01:35,CST-6,17-05-2015 01:35,0,0,0,0,15.00K,,Law Enforcement,61,EG,,,,,,,,,,1,NE,ST CHARLES,1,NE,ST CHARLES,41.29,-93.81,41.29,-93.81,"A strong upper level low pressure system lifted northeast out of the southwest U.S. during the early morning hours of the 17th.  The surface low was over South Dakota as a line of thunderstorms developed ahead of an advancing dry line that was south of the low.  The atmosphere was moderately unstable with about 2000 J/kg as the storms developed in the evening.  CAPE in the -10 to -30 C layer of the atmosphere was only about 400 J/kg with a freezing level around 13,000 feet.  The lifted index was in the -4 to -5 C range as the storms approached with 40 to 45 kts of shear available.  The LCL was quite low, around 750 meters.  CAPE in the zero to 3 km layer was 50 to 100 J/kg.  Precipitable water values were quite high, in the 1.25 to 1.5 inch range.  For the most part, the thunderstorms were not severe and produced mainly heavy rainfall.  Several reports of 2 to 3 inches of rainfall were received from southwest into north central Iowa.  As the line advanced eastward, a small mesoscale vorticity maximum was observed riding north along the line.  The thunderstorms became enhanced as it moved north with a line of damage extending from Clarke County north to Webster County.  Eighty two cars of a railroad train were derailed by the winds, with two of them blown off into the nearby field.  Numerous very large trees were downed and some farm buildings lost roofs.  Reports of trees and power lines being blown down continued north as the vorticity maximum lifted north.",Tree damage was reported.,CSV,madison
1309388,95925,576337,IOWA,19,2015,June,Thunderstorm Wind,C,179,WAPELLO,DMX,20-06-2015 17:40,CST-6,20-06-2015 17:40,0,0,0,0,25.00K,,Public,65,EG,,,,,,,,,,3,W,ELDON,3,W,ELDON,40.92,-92.22,40.92,-92.22,"A low pressure system moved into the state during the day, dragging behind it a cold front that helped trigger off storms across portions of central and southern Iowa. Hail, damaging winds and a tornado occurred with the storms. The tornado moved from Monroe County into Wapello County damaging multiple farmsteads, power poles and a house.",Public report of trees down in town.,CSV,wapello
1309389,95925,576339,IOWA,19,2015,June,Thunderstorm Wind,C,179,WAPELLO,DMX,20-06-2015 17:42,CST-6,20-06-2015 17:42,0,0,0,0,0.00K,,Public,52,EG,,,,,,,,,,3,S,BLADENSBURG,3,S,BLADENSBURG,41,-92.23,41,-92.23,"A low pressure system moved into the state during the day, dragging behind it a cold front that helped trigger off storms across portions of central and southern Iowa. Hail, damaging winds and a tornado occurred with the storms. The tornado moved from Monroe County into Wapello County damaging multiple farmsteads, power poles and a house.",Public report of estimated 60 mph wind gust approximately 4 miles east of Agency.,CSV,wapello
1309390,95925,576341,IOWA,19,2015,June,Thunderstorm Wind,C,179,WAPELLO,DMX,20-06-2015 17:42,CST-6,20-06-2015 17:42,0,0,0,0,20.00K,,Public,60,EG,,,,,,,,,,1,E,OTTUMWA,1,E,OTTUMWA,41.02,-92.38,41.02,-92.38,"A low pressure system moved into the state during the day, dragging behind it a cold front that helped trigger off storms across portions of central and southern Iowa. Hail, damaging winds and a tornado occurred with the storms. The tornado moved from Monroe County into Wapello County damaging multiple farmsteads, power poles and a house.",Public/Chaser report of trees down and debris 2 miles E of Ottumwa.,CSV,wapello
1309534,94184,566377,IOWA,19,2015,May,Thunderstorm Wind,C,53,DECATUR,DMX,17-05-2015 00:55,CST-6,17-05-2015 00:55,0,0,0,0,50.00K,,Public,52,EG,,,,,,,,,,1,W,VAN WERT,1,W,VAN WERT,40.87,-93.79,40.87,-93.79,"A strong upper level low pressure system lifted northeast out of the southwest U.S. during the early morning hours of the 17th.  The surface low was over South Dakota as a line of thunderstorms developed ahead of an advancing dry line that was south of the low.  The atmosphere was moderately unstable with about 2000 J/kg as the storms developed in the evening.  CAPE in the -10 to -30 C layer of the atmosphere was only about 400 J/kg with a freezing level around 13,000 feet.  The lifted index was in the -4 to -5 C range as the storms approached with 40 to 45 kts of shear available.  The LCL was quite low, around 750 meters.  CAPE in the zero to 3 km layer was 50 to 100 J/kg.  Precipitable water values were quite high, in the 1.25 to 1.5 inch range.  For the most part, the thunderstorms were not severe and produced mainly heavy rainfall.  Several reports of 2 to 3 inches of rainfall were received from southwest into north central Iowa.  As the line advanced eastward, a small mesoscale vorticity maximum was observed riding north along the line.  The thunderstorms became enhanced as it moved north with a line of damage extending from Clarke County north to Webster County.  Eighty two cars of a railroad train were derailed by the winds, with two of them blown off into the nearby field.  Numerous very large trees were downed and some farm buildings lost roofs.  Reports of trees and power lines being blown down continued north as the vorticity maximum lifted north.",Trees were reported down on houses in town and power was out.  Relayed by KCCI TV.,CSV,decatur
1309748,94184,566394,IOWA,19,2015,May,Thunderstorm Wind,C,39,CLARKE,DMX,17-05-2015 01:15,CST-6,17-05-2015 01:15,0,0,0,0,50.00K,,Trained Spotter,65,EG,,,,,,,,,,5,WNW,OSCEOLA,5,WNW,OSCEOLA,41.0498,-93.8648,41.0498,-93.8648,"A strong upper level low pressure system lifted northeast out of the southwest U.S. during the early morning hours of the 17th.  The surface low was over South Dakota as a line of thunderstorms developed ahead of an advancing dry line that was south of the low.  The atmosphere was moderately unstable with about 2000 J/kg as the storms developed in the evening.  CAPE in the -10 to -30 C layer of the atmosphere was only about 400 J/kg with a freezing level around 13,000 feet.  The lifted index was in the -4 to -5 C range as the storms approached with 40 to 45 kts of shear available.  The LCL was quite low, around 750 meters.  CAPE in the zero to 3 km layer was 50 to 100 J/kg.  Precipitable water values were quite high, in the 1.25 to 1.5 inch range.  For the most part, the thunderstorms were not severe and produced mainly heavy rainfall.  Several reports of 2 to 3 inches of rainfall were received from southwest into north central Iowa.  As the line advanced eastward, a small mesoscale vorticity maximum was observed riding north along the line.  The thunderstorms became enhanced as it moved north with a line of damage extending from Clarke County north to Webster County.  Eighty two cars of a railroad train were derailed by the winds, with two of them blown off into the nearby field.  Numerous very large trees were downed and some farm buildings lost roofs.  Reports of trees and power lines being blown down continued north as the vorticity maximum lifted north.",A wooden barn was completely destroyed along 180th Ave.,CSV,clarke
1309781,94184,566379,IOWA,19,2015,May,Thunderstorm Wind,C,39,CLARKE,DMX,17-05-2015 01:10,CST-6,17-05-2015 01:10,0,0,0,0,250.00K,,Trained Spotter,75,EG,,,,,,,,,,4,W,OSCEOLA,4,W,OSCEOLA,41.04,-93.86,41.04,-93.86,"A strong upper level low pressure system lifted northeast out of the southwest U.S. during the early morning hours of the 17th.  The surface low was over South Dakota as a line of thunderstorms developed ahead of an advancing dry line that was south of the low.  The atmosphere was moderately unstable with about 2000 J/kg as the storms developed in the evening.  CAPE in the -10 to -30 C layer of the atmosphere was only about 400 J/kg with a freezing level around 13,000 feet.  The lifted index was in the -4 to -5 C range as the storms approached with 40 to 45 kts of shear available.  The LCL was quite low, around 750 meters.  CAPE in the zero to 3 km layer was 50 to 100 J/kg.  Precipitable water values were quite high, in the 1.25 to 1.5 inch range.  For the most part, the thunderstorms were not severe and produced mainly heavy rainfall.  Several reports of 2 to 3 inches of rainfall were received from southwest into north central Iowa.  As the line advanced eastward, a small mesoscale vorticity maximum was observed riding north along the line.  The thunderstorms became enhanced as it moved north with a line of damage extending from Clarke County north to Webster County.  Eighty two cars of a railroad train were derailed by the winds, with two of them blown off into the nearby field.  Numerous very large trees were downed and some farm buildings lost roofs.  Reports of trees and power lines being blown down continued north as the vorticity maximum lifted north.",Around 82 train cars were blown over.  Several very large trees were uprooted in a narrow corridor.  Many branches were snapped and several farm buildings lost roofs.,CSV,clarke
